Series Name,URL,Sheets,GiD,ShortURL,Column 1,Column 7,,,Sheets,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=966258644&single=true,,,,,,,,,,,,,46656,392
Series 07,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=1878476860&single=true,A,1878476860,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,1878476860,Academy,Academy,Main,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/10574E9HY4YV7ay8D-2GnqxGVgtup2L8Dw8tbkX7o7YU/edit?gid=1911496022#gid=1911496022,,
Series 08,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=913428162&single=true,A,913428162,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,913428162,Cars,Star Wars,A,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/10574E9HY4YV7ay8D-2GnqxGVgtup2L8Dw8tbkX7o7YU,32218,137
Series 09,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=1192992003&single=true,A,1192992003,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,1192992003,Costume,Marvel,B,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1-hO-UUyZn0RqgrCN6csVeklfuDhj78mQCrPBeG1psmU,2692,48
Series 10,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=1506024750&single=true,A,1506024750,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,1506024750,Holiday,Lets Party,C,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1e09gvVfazQ45jWtwxHFss3VLHN8u0DSnf6UTgujElaI,4953,99
Series 11,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=1434767453&single=true,A,1434767453,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,1434767453,In Full Bloom,Series 12,D,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlyia7rRiodMVXyVkK17gPKJsIqJZhiew44QwKF45Doz2ZIZytJw_ZByCGgPOiKQZ8wwHaSXiyRzas/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/1oayXKVBV60DYNi90cFOnOMAFVIZUda5WVFvE7HYaRJg,3093,55
Series 12,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=803648278&single=true,A,803648278,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml,A,803648278,Just Play,Series 11,E,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml,,,,,,,,,,,,https://docs.google.com/spreadsheets/d/14oHYlLQ-lrYz2tMNITzXqNKWZuXRzRAEs8qP_jkosG0,3700,53
Academy,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=320261107&single=true,B,320261107,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,320261107,Let`s Go,Series 10,Munchlings,http://docs.google.com/spreadsheets/d/e/2PACX-1vRDxntgYU67B6Hcgb-ytCLZxxiSv46CL4sB4mdsOBMBWl7EHOP7aCEv5COWkHH8bbkHAX1wpidQfhYn/pubhtml?,,,,,,,,,,,,,,
Cars,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=964262047&single=true,B,964262047,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,964262047,Lets Party,Series 9,,,,,,,,,,,,,,,,
Costume,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=2027581497&single=true,B,2027581497,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,2027581497,Locker,Series 8,,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlEK6rw_kfo6t7-6JAYyEVf0DIZ7DpYmNBzw2oDCTzDer5N2cpiOWBkoiRCYlFItAPdDashicveMHA/pubhtml?gid=1878476860&single=true,,,,,,,,,,,,
Holiday,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=64307182&single=true,B,64307182,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,64307182,Marvel,Series 7,?gid= &single=true,,,,,,,,,,,,,,,
