2024 Advent Calendar w/ Stitch and Jack,,,,,,2024 Advent Calendar w/ Mickey and Minnie,,,,,,,,,,,,,,,,,,,
A02,A04,A06,A08,A10,A12,A01,A02/A03,A05,A04/A07,A09,A06/A11,,,,Series 5,,,,Series 9,,,,Series 10,,
8: Boo,8: Alice,8: Meg,8: Alice,8: Baymax,8: Hiro,8: Alice,8: Baymax,8: Baymax,8: Boo,8: Alice,8: Alice,,,,1,Mickey,Common,,1,Luca Sea Monster,Common,,1,Zurg,Rare
8: Hercules,8: Baymax,8: Mike Wazowski,8: Boo,8: Boo,8: Meg,8: Meg,8: Hercules,8: Meg,8: Hercules,8: Baymax,8: Boo,,,,2,Minnie,Common,,2,Alberto Sea Monster,Common,,2,Slinky the Dog,Rare
8: Lotso,8: Hiro,8: Playing Card,8: Lotso,8: Hercules,8: Mike Wazowski,8: Mei,8: Lotso,8: Mei,8: Lotso,8: Boo,8: Hercules,,,,3,Figaro,Common,,3,Giulia,Rare,,3,Lenny,Common
8: Playing Card,8: Meilin Lee,8: Ralph,8: Playing Card,8: Meilin Lee,8: Sulley,8: Mike Wazowski,8: Mike Wazowski,8: Mike Wazowski,8: Mei,8: Hiro,8: Hiro,,,,4,Clarabelle,Ultra Rare,,4,Alberto,Ultra Rare,,4,Trixie,Common
8: Red Panda Mei,8: Sulley,8: Tinker Bell,8: Red Panda Mei,8: Playing Card (red),8: Vanellope,8: Black Card,8: Ralph,8: Red Card,8: Black Card,8: Ralph,8: Black Card,,,,5,Daisy,Rare,,5,Luca,Common,,5,Giggle McDimples,Ultra Rare
8: Tinker Bell,9: 22,9: Heimlich,9: Eeyore,8: Ralph,9: Alberto Scorfano,8: Sulley,8: Red Panda Mei,8: Sulley,8: Red Panda Mei,8: Sulley,8: Ralph,,,,6,Bambi,Special Edition,,6,Machiavelli,Rare,,6,Milo,Rare
9: 22,9: Alberto Scorfano,9: Luca Paguro,9: Flik,9: Heimlich,9: Heimlich,8: Vanellope,8: Tinker Bell,8: Tinker Bell,8: Tinker Bell,9: Alberto,9: Judy Hopps,,,,7,Thumper,Limited Edition,,7,Minnie Mouse 20`s,Common,,7,Princess Kida,Ultra Rare
9: Lightning McQueen,9: Flik,9: Minnie Mouse 30's,9: Mater,9: Mushu,9: Judy Hopps,9: Alberto,9: Flik,9: 22,9: 22,9: Eeyore,9: Lightning McQueen,,,,8,Flower,Special Edition,,8,Minnie Mouse 30`s,Common,,8,Audrey,Rare
9: Luca Paguro,9: Judy Hopps,9: Nick,9: Minnie Mouse 30's,9: Nick,9: Lightning McQueen,9: Heimlich,9: Heimlich,9: Alberto,9: Minnie Mouse 30s,9: Flik,9: Luca,,,,9,Owl,Limited Edition,,9,Minnie Mouse 40`s,Rare,,9,Vinny,Common
9: Minnie Mouse 30's,9: Mater,9: Soul Joe Gardner,9: Mr. Mittens,9: Soul Joe Gardner,9: Mulan,9: Judy Hopps,9: Judy Hopps,9: Flik,9: Mr. Mittens,9: Luca,9: Mater,,,,10,Cinderella,Common,,10,Minnie Mouse 50`s,Rare,,10,Gaetan Moliere,Common
9: Mulan,9: Mr. Mittens,9: Tigger,9: Nick,9: Winnie the Pooh,9: Mushu,9: Lightning McQueen,9: Mr. Mittens,9: Heimlich,9: Mulan,9: Mr. Mittens,9: Minnie Mouse 30s,,,,11,Charming,Common,,11,Minnie Mouse 70`s,Common,,11,Pinocchio,Common
9: Tigger,9: Winnie the Pooh,10: Dante,9: Soul Joe Gardner,10: Cinderella,10: Blue Fairy,9: Luca,9: Mulan,9: Lightning McQueen,9: Nick,9: Mulan,9: Mr. Mittens,,,,12,Drizella,Ultra Rare,,12,Minnie Mouse 80`s,Ultra Rare,,12,Honest John,Ultra Rare
10: Blue Fairy,10: Aurora,10: Kuzco,9: Tigger,10: Dante,10: Kuzco,9: Mater,9: Soul Joe Gardner,9: Nick,9: Soul Joe Gardner,9: Mushu,9: Mushu,,,,13,Anastasia,Rare,,13,Flik,Common,,13,Blue Fairy,Common
10: Cinderella,10: Blue Fairy,10: Lenny,10: Kuzco (Llama),10: Lenny,10: Miguel,9: Soul Joe Gardner,9: Tigger,9: Winnie the Pooh,9: Tigger,9: Nick,9: Winnie the Pooh,,,,14,Lucifer,Common,,14,Heimlich,Common,,14,Geppetto,Rare
