,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Series 4,5,6
UPC Starting
0961LH01",A 1,,,,A 2,,,,A 3,,,,A 4,,,,A 5,,,,A6,,,,A 7,,,,A 8,,
,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6,,Series 4,Series 5,Series 6
,Abu,Bambi,Ariel   ,,Beast,Anastasia,Alice,,Bunny,Buttercup,Ariel,,Buzz,Friend Owl,Belle,,Triton,Marie,Roo,,Gabby,Charming,Ariel BD,,Buzz,Toulouse,Aurora,,Cogsworth,Charming,Bashful
,Bruni,Drizella,Aurora/Belle,,Bo Peep,Aurora,Ariel BD,,Eric,Fauna,Cheshire,,Godmother,Green Alien,Doc ,,Stitch,Anna,Ursula,,Genie,Duchess,Belle,,Genie,Anastasia,Eeyore,,Gabby Gabby,Daisy,Captain Hook
,Buzz,Fauna,Dumbo,,Goofy,Berloiz,Cinderella,,Gabby,Flower,Cinderella,,Lumiere,Hei Hei,Flounder,,Mrs. Potts,Caboom,Q. Hearts,,Gothel,Flora,Cheshire,,Godmother,Cinderella,Happy,,Genie,Duchess,Doc
,Lilo,G. Alien,Hatter,,Maximus,Figaro,Dyan,,Mrs Potts,Lucifer,Dopey,,Maximus,Lucifer,Hatter,,Sven,Cinderella,Smee,,Lumiere,Minnie,Dumbo,,Lumiere,Clarabelle,Pan,,Godmother,Elsa,Piglet
,Pearl,Maui,Peter Pan,,Raja,Hamm,Eeyore,,Raja,Marie,Mickey LE,,Mufasa,Merryweather,Peter Pan,,Abu,Clarabelle,Sisu,,Scrump,Princess Rap,Dyan,,Mufasa,Maleficent,Pinocchio,,Gothel,Jessie,Pinocchio
,Scrump,Mickey,Rabbit,,Squirt,Pua,Grumpy,,Squirt,Minnie,Rabbit,,Pearly,Mickey,Pooh,,Bo Peep,Pascal,Rapunzel,,Squirt,Rex,Flounder,,Pearl,Moana,Raya,,Lilo,Rapunzel Pan,Q. Hearts
,Tremaine,O`Malley,Sneezy,,Timon,Thumper,Hook,,Stitch,Tamatoa,Tiana,,Sven,Toulouse,Rapunzel,,Squirt,Flora,Piglet,,Timon,Tamatoa,Pooh,,Timon,Olaf Hat,Roo,,Sebastian,Rex,Sebastian
,,,Snow White,,,,Minnie,,,,Tick Tock,,,,Raya,,,,Happy,,,,Sneezy,,,,Sebastian,,,,Snow White
,,,Tinkerbelle,,,,Tigger,,,,Uka,,,,Sleepy,,,,Pan ,,,,Tink,,,,Wendy,,,,Tiana
,,,Tuk Tuk,,,,W. Rabbit,,,,Ursula,,,,Uka,,,,Alice,,,,Wendy,,,,White Rabbit,,,,Tuk Tuk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Series 5,6
UPC Starting
1052LH01",A01,,,,A02,,,,A05,,,,,,,,,,,,,,,,,,,,,,
,Series 5,Series 6,,,Series 5,Series 6,,,Series 5,Series 6,,,,,,,,,,,,,,,,,,,,,
,Mickey,Mad Hatter,,,Aurora,Roo,,,Duke Caboom,Happy,,,,,,,,,,,,,,,,,,,,,
,Minnie,Piglet,,,Duke Caboom,Eeyore,,,Thumper,Rapunzel,,,,,,,,,,,,,,,,,,,,,
