Series,Name,,Codes,,,,,,,
M.M. Vending,Inside Out,,"TL001, A008",,,,,,,
M.M. Vending,Lilo and Stitch,,A007,,,,,,,
M.M. Vending,Mickey & Friends,,A003,,,,,,,
M.M. Vending,Minnie & Friends,,"A002, A007",,,,,,,
M.M. Vending,Moana,,A005,,,,,,,
M.M. Vending,Nightmare Before Christmas,,A001,,,,,,,
M.M. Vending,Toy Story,,A004,,,,,,,
M.M. Vending,Winnie the Pooh,,A006,,,,,,,
Popcorn,Alien,,A002,,,,,,,
Popcorn,Cheshire Cat,,A003,,,,,,,
Popcorn,Minnie Mouse,,A001,,,,,,,
Popcorn,Stitch,,A004,,,,,,,
,,,,,,,,,,
Code,Series,Type,Character 1,Character 2,Character3,Character4,,,,
A005,1,2Pack,Chocolate Dipped Sponge Cake,Mint Dipped Ice Cream Sandwich,,,Wall-E,Mickey Mouse,,
A007,1,2Pack,Garlic Mini Baguette,Oat Milk,,,Tramp,Baymax,,
A011,1,2Pack,Banana Berry Candy,Onigiri Nori,,,Flounder,Donald Duck,,
A012,1,2Pack,Mint Dipped Ice Cream Sandwich,Sea Salt Caramel Cookie,,,Mickey Mouse,Mochi,,
A013,1,2Pack,Onigiri Nori,Salmon Roll,,,Donald Duck,Daisy Duck,,
A016,1,2Pack,Blue Raspberry Frozen Yogurt,Lettuce Wrap,,,Flotsam & Jetsam,Bambi,,
A023,1,2Pack,Banana Berry Candy,Mint Dipped Ice Cream Sandwich,,,Flounder,Mickey Mouse,,
A025,1,2Pack,Cheesy Grilled Squash,Garlic Mini Baguette,,,Timon,Tramp,,
A027,1,2Pack,Blueberry Pie,Salmon Roll,,,Sadness,Daisy Duck,,
A031,1,2Pack,Banana Berry Candy,Lettuce Wrap,,,Flounder,Bambi,,
A032,1,2Pack,Garlic Mini Baguette,Mochi Sundae,,,Tramp,Pearl,,
A034,1,2Pack,Banana Berry Candy,Chocolate Dipped Sponge Cake,,,Flounder,Wall-E,,
A036,1,2Pack,Mint Dipped Ice Cream Sandwich,Strawberry Sundae Waffle Bowl,,,Mickey Mouse,Minnie Mouse,,
A038,1,2Pack,Cheesy Grilled Squash,Garlic Mini Baguette,,,Timon,Tramp,,
