Series,Character,Code,Rarity
Munchlings S1,Wall-E & Mickey Mouse,A005,Common
Munchlings S1,Tramp & Baymax,A007,Common
Munchlings S1,Flounder & Donald Duck,A011,Common
Munchlings S1,Mickey Mouse & Mochi,A012,Common
Munchlings S1,Donald Duck & Daisy Duck,A013,Common
Munchlings S1,Flotsam & Jetsam & Bambi,A016,Common
Munchlings S1,Flounder & Mickey Mouse,A023,Common
Munchlings S1,Timon & Tramp,A025,Common
Munchlings S1,Sadness & Daisy Duck,A027,Common
Munchlings S1,Flounder & Bambi,A031,Common
Munchlings S1,Tramp & Pearl,A032,Common
Munchlings S1,Flounder & Wall-E,A034,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,A036,Common
Munchlings S1,Timon & Tramp,A038,Common
Munchlings S1,Timon & Pumbaa,A039,Common
Munchlings S1,Eve & Minnie Mouse,A043,Common
Munchlings S1,Wall-E & Minnie Mouse,A055,Common
Munchlings S1,Ursula & Donald Duck,A056,Common
Munchlings S1,Wall-E & Tramp,A057,Common
Munchlings S1,Flounder & Tramp,A059,Common
Munchlings S1,Tramp & Minnie Mouse,A060,Common
Munchlings S1,Donald Duck & Daisy Duck,A061,Common
Munchlings S1,Mickey Mouse & Marlin,A062,Common
Munchlings S1,Daisy Duck & Minnie Mouse,A063,Common
Munchlings S1,Donald Duck & Minnie Mouse,A064,Common
Munchlings S1,Timon & Mickey Mouse,A073,Common
Munchlings S1,Timon & Minnie Mouse,A074,Common
Munchlings S1,Tramp & Mickey Mouse,A075,Common
Munchlings S1,Wall-E & Mochi,A077,Common
Munchlings S1,Timon & Bambi,A078,Common
Munchlings S1,Bambi & Daisy Duck,A082,Common
Munchlings S1,Mickey Mouse & Donald Duck,A084,Common
Munchlings S1,Timon & Daisy Duck,A085,Common
Munchlings S1,Dory & Daisy Duck,A086,Common
Munchlings S1,Wall-E & Daisy Duck,A090,Common
Munchlings S1,Bambi & Donald Duck,A093,Common
Munchlings S1,Flounder & Sadness,A095,Common
Munchlings S1,Wall-E & Bambi,A097,Common
Munchlings S1,Pua & Emile,A201,Common
Munchlings S1,Dale & Mickey Mouse,A202,Common
Munchlings S1,Chip & Nemo,A203,Common
Munchlings S1,Bambi & Tigger,A204,Common
Munchlings S1,Mochi,A205,Common
Munchlings S1,Pua & Mickey Mouse,A205,Common
Munchlings S1,Remy & Nemo,A206,Common
Munchlings S1,Mochi & Minnie Mouse,A207,Common
Munchlings S1,Chip & Tigger,A208,Common
Munchlings S1,Chip & Mickey Mouse,A209,Common
Munchlings S1,Timon & Remy,A210,Common
Munchlings S1,Flounder & Pua,A211,Common
Munchlings S1,Chip & Nemo,A212,Common
Munchlings S1,Donald Duck & Dale,A212,Common
Munchlings S1,Nemo & Dale,A212,Common
Munchlings S1,Tigger & Hei Hei,A213,Common
Munchlings S1,Chip & Donald Duck,A214,Common
Munchlings S1,Wall-E & Mickey Mouse,A215,Common
Munchlings S1,Pua & Remy,A216,Common
Munchlings S1,Nemo & Daisy Duck,A217,Common
Munchlings S1,Donald Duck & Daisy Duck,A217,Common
Munchlings S1,Tramp & Winnie the Pooh,A218,Common
Munchlings S1,Sadness & Tigger,A219,Common
Munchlings S1,Mickey Mouse & Mickey Mouse,A220,Common
Munchlings S1,Chip & Remy,A221,Common
Munchlings S1,Chip & Minnie Mouse,A222,Common
Munchlings S1,Chip & Pua,A223,Common
Munchlings S1,Pua & Dale,A223,Common
Munchlings S1,Timon & Nemo,A224,Common
Munchlings S1,Minnie Mouse & Daisy Duck,A225,Common
Munchlings S1,Chip & Tigger,A226,Common
Munchlings S1,Remy & Daisy Duck,A227,Common
Munchlings S1,Chip & Bambi,A228,Common
Munchlings S1,Ursula & Tigger,A229,Common
Munchlings S1,Nemo & Mickey Mouse,A230,Common
Munchlings S1,Wall-E & Tigger,A231,Common
Munchlings S1,Tramp & Mickey Mouse,A232,Common
Munchlings S1,Remy & Pearl,A233,Common
Munchlings S1,Remy & Lady,A234,Common
Munchlings S1,Nemo & Minnie Mouse,A235,Common
Munchlings S1,Timon & Mickey Mouse,A236,Common
Munchlings S1,Wall-E & Chip,A237,Common
Munchlings S1,Flotsam & Jetsam & Mickey Mouse,A238,Common
Munchlings S1,Pua & Daisy Duck,A239,Common
Munchlings S1,Sebastian & Remy,A240,Common
Munchlings S1,Flounder & Mochi,A241,Common
Munchlings S1,Flounder & Mickey Mouse,A241,Common
Munchlings S1,Chip & Tramp,A242,Common
Munchlings S1,Minnie Mouse & Donald Duck,A243,Common
Munchlings S1,Flotsam & Jetsam & Pumbaa,A244,Common
Munchlings S1,Mickey Mouse & Pumbaa,A244,Common
Munchlings S1,Tigger & Minnie Mouse,A245,Common
Munchlings S1,Dale & Donald Duck,A246,Common
Munchlings S1,Daisy Duck & Thumper,A247,Common
Munchlings S1,Pua & Tigger,A248,Common
Munchlings S1,Bambi,A249,Common
Munchlings S1,Nemo & Bambi,A249,Common
Munchlings S1,Marlin & Mochi,A250,Common
Munchlings S1,Tigger & Mickey Mouse,A250,Common
Munchlings S1,Baymax,A251,Common
Munchlings S1,Remy & Baymax,A251,Common
Munchlings S1,Wall-E & Dale,A252,Common
Munchlings S1,Pua & Dory,A253,Common
Munchlings S1,Chip & Pua,A253,Common
Munchlings S1,Pua & Dory,A254,Common
Munchlings S1,Nemo & Emile,A255,Common
Munchlings S1,Remy & Mickey Mouse,A256,Common
Munchlings S1,Chip & Remy,A257,Common
Munchlings S1,Pua & Minnie Mouse,A258,Common
Munchlings S1,Eve & Dale,A259,Common
Munchlings S1,Donald Duck & Mickey Mouse,A260,Common
Munchlings S1,Bambi & Hei Hei,A261,Common
Munchlings S1,Wall-E & Pua,A262,Common
Munchlings S1,Nemo & Tramp,A263,Common
Munchlings S1,Flounder & Mickey Mouse,A264,Common
Munchlings S1,Minnie Mouse & Tigger,A265,Common
Munchlings S1,Remy & Tramp,A266,Common
Munchlings S1,Tramp & Dale,A266,Common
Munchlings S1,Flounder & Remy,A267,Common
Munchlings S1,Chip & Dale,A268,Common
Munchlings S1,Flounder & Lady,A269,Common
Munchlings S1,Daisy Duck & Mickey Mouse,A270,Common
Munchlings S1,Sebastian & Tigger,A271,Common
Munchlings S1,Remy & Tigger,A271,Common
