Series,Character,Code,Rarity
Series 4,Abu,A 1,Common
Series 4,Bruni,A 1,Common
Series 4,Buzz,A 1,Common
Series 4,Lilo,A 1,Common
Series 4,Pearl,A 1,Common
Series 4,Scrump,A 1,Common
Series 4,Tremaine,A 1,Common
Series 4,A01,A 1,Common
Series 4,Series 5,A 1,Common
Series 4,Mickey,A 1,Common
Series 4,Minnie,A 1,Common
Series 4,Anna,A 1,Common
Series 4,Drizella,A 1,Common
Series 4,Aurora,A 1,Common
Series 4,Fauna,A 1,Common
Series 4,Bambi,A 1,Common
Series 4,Maui,A 1,Common
Series 4,Thomas O`Malley,A 1,Common
Series 4,Green Alien,A 1,Common
Series 4,A03,A 1,Common
Series 4,Series 6,A 1,Common
Series 4,Ariel B/Dress,A 1,Common
Series 4,Ursula,A 1,Common
Series 4,Cinderella,A 1,Common
Series 4,Mickey,A 1,Common
Series 4,Tick Tock Croc,A 1,Common
Series 4,Doc,A 1,Common
Series 4,A021,A 1,Common
Series 4,Series 8,A 1,Common
Series 4,Boo,A 1,Common
Series 4,Baymax,A 1,Common
Series 4,Alice,A 1,Common
Series 4,Bing Bong (cotton candy),A 1,Common
Series 4,Mei,A 1,Common
Series 4,Tinker Bell,A 1,Common
Series 4,Vanellope,A 1,Common
Series 4,Panic,A 1,Common
Series 5,Bambi,nan,Common
Series 5,Drizella,nan,Common
Series 5,Fauna,nan,Common
Series 5,G. Alien,nan,Common
Series 5,Maui,nan,Common
Series 5,Mickey,nan,Common
Series 5,O`Malley,nan,Common
Series 5,Series 6,nan,Common
Series 5,Mad Hatter,nan,Common
Series 5,Piglet,nan,Common
Series 5,Rabbit (Pooh),nan,Common
Series 5,Flounder,nan,Common
Series 5,Dumbo,nan,Common
Series 5,Aurora,nan,Common
Series 5,Peter Pan,nan,Common
Series 5,Snow White,nan,Common
Series 5,Tuk Tuk,nan,Common
Series 5,Tinker Bell,nan,Common
Series 5,Sneezy,nan,Common
Series 5,Happy,nan,Common
Series 5,Uka,nan,Common
Series 5,Ariel Mermaid,nan,Common
Series 5,Series 7,nan,Common
Series 5,Russell,nan,Common
Series 5,Chip,nan,Common
Series 5,Shere Khan,nan,Common
